,graph_name,motif,average_count,standard_deviation,z_score,significance_profile,nodes,edges,max_degree,avg_degree
0,100318079_sample_sff_15,1,99.6,38.43934616162628,18.76722868715619,0.1678621530199583,33.0,342.0,26.5,20.727272727272727
1,100318079_sample_sff_15,2,188.88,38.57494869298813,-3.6261875838975866,-0.0324341790273951,33.0,342.0,26.5,20.727272727272727
2,100318079_sample_sff_15,3,270.56,51.568789010408224,-3.869782553158703,-0.0346129970450487,33.0,342.0,26.5,20.727272727272727
3,100318079_sample_sff_15,4,0.0,0.0,0.0,0.0,33.0,342.0,26.5,20.727272727272727
4,100318079_sample_sff_15,5,49.32,13.557654664432192,5.5083273507415065,0.0492688453925534,33.0,342.0,26.5,20.727272727272727
5,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
6,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
7,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
8,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
9,100318079_sample_rpn_20,1,326.68,80.29514306606596,24.28938943910092,0.3626955170677823,41.0,495.0,27.0,24.146341463414632
10,100318079_sample_rpn_20,2,424.52,66.8475379751067,-5.198695576932282,-0.0776282823033052,41.0,495.0,27.0,24.146341463414632
11,100318079_sample_rpn_20,3,301.08,51.3873525295865,-5.508748477303153,-0.08225807331968,41.0,495.0,27.0,24.146341463414632
12,100318079_sample_rpn_20,4,0.0,0.0,0.0,0.0,41.0,495.0,27.0,24.146341463414632
13,100318079_sample_rpn_20,5,166.48,44.91577302759763,33.83043188561756,0.505164858760428,41.0,495.0,27.0,24.146341463414632
14,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
15,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
16,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
17,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
18,20060293_sample_sff_15,1,109.2,29.81750045415164,1.2341745431205702,0.0185223885452879,36.0,353.0,27.0,19.61111111111111
19,20060293_sample_sff_15,2,278.2,57.864064841661445,0.5668457632513988,0.0085071739088423,36.0,353.0,27.0,19.61111111111111
20,20060293_sample_sff_15,3,374.88,70.16784638754895,1.8259075430699616,0.0274030680255328,36.0,353.0,27.0,19.61111111111111
21,20060293_sample_sff_15,4,0.0,0.0,0.0,0.0,36.0,353.0,27.0,19.61111111111111
22,20060293_sample_sff_15,5,67.08,24.9214098049582,15.24472343151364,0.2287915370138736,36.0,353.0,27.0,19.61111111111111
23,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
24,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
25,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
26,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
27,14203895_sample_rn_15,1,14.04,6.611101774036357,-0.6110933000405783,-0.013331090592935,25.0,74.0,11.0,5.92
28,14203895_sample_rn_15,2,46.32,18.03866218247166,-1.6253976987545409,-0.0354582908537962,25.0,74.0,11.0,5.92
29,14203895_sample_rn_15,3,40.88,16.465418306256296,-2.179112569910649,-0.0475376625463795,25.0,74.0,11.0,5.92
30,14203895_sample_rn_15,4,0.0,0.0,0.0,0.0,25.0,74.0,11.0,5.92
31,14203895_sample_rn_15,5,11.24,8.579432770682843,3.352202968275136,0.073128802840768,25.0,74.0,11.0,5.92
32,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
33,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
34,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
35,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
36,20060293_sample_rpn_20,1,122.96,29.876802595547822,2.511647615571229,0.1005815034262011,44.0,262.0,18.0,11.909090909090908
37,20060293_sample_rpn_20,2,315.48,76.77299872568047,-1.2436664137760465,-0.0498038964075847,44.0,262.0,18.0,11.909090909090908
38,20060293_sample_rpn_20,3,600.44,145.0345016424253,-1.754341188604268,-0.0702543912523312,44.0,262.0,18.0,11.909090909090908
39,20060293_sample_rpn_20,4,0.0,0.0,0.0,0.0,44.0,262.0,18.0,11.909090909090908
40,20060293_sample_rpn_20,5,37.24,16.078660806588754,2.9082024033269342,0.1164619464055621,44.0,262.0,18.0,11.909090909090908
41,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
42,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
43,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
44,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
45,20060293_sample_rn_20,1,172.2,43.60905869197362,1.9445501128325824,0.01031042486945,48.0,328.0,21.5,13.666666666666666
46,20060293_sample_rn_20,2,509.0,91.69423827773112,-2.5301480699070655,-0.0134153917717043,48.0,328.0,21.5,13.666666666666666
47,20060293_sample_rn_20,3,755.44,144.1697726062344,-2.6804509226456883,-0.0142123299738101,48.0,328.0,21.5,13.666666666666666
48,20060293_sample_rn_20,4,0.0,0.0,0.0,0.0,48.0,328.0,21.5,13.666666666666666
49,20060293_sample_rn_20,5,69.64,22.660317738284256,4.649537628591849,0.0246528531617249,48.0,328.0,21.5,13.666666666666666
50,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
51,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
52,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
53,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
54,7861312_sample_rw_15,1,93.32,29.22287916456328,3.992761950078157,0.0974518497010241,33.0,215.0,18.0,13.030303030303031
55,7861312_sample_rw_15,2,189.72,41.63183877755101,-3.235984860525656,-0.0789810948425219,33.0,215.0,18.0,13.030303030303031
56,7861312_sample_rw_15,3,184.84,30.671213431055076,-4.852758771170664,-0.1184419017001986,33.0,215.0,18.0,13.030303030303031
57,7861312_sample_rw_15,4,0.0,0.0,0.0,0.0,33.0,215.0,18.0,13.030303030303031
58,7861312_sample_rw_15,5,50.96,23.15613669562923,4.104311580521072,0.1001744557456733,33.0,215.0,18.0,13.030303030303031
59,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
60,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
61,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
62,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
63,14338082_sample_rn_15,1,52.84,20.4790136481228,1.4238967023039673,0.0312204298833289,29.0,78.0,8.5,5.379310344827586
64,14338082_sample_rn_15,2,77.32,24.09308337815371,-3.0431970391337524,-0.0667252895717061,29.0,78.0,8.5,5.379310344827586
65,14338082_sample_rn_15,3,44.16,15.889409470881333,-2.7792096415494156,-0.0609370887682149,29.0,78.0,8.5,5.379310344827586
66,14338082_sample_rn_15,4,0.0,0.0,0.0,0.0,29.0,78.0,8.5,5.379310344827586
67,14338082_sample_rn_15,5,25.48,24.355218468875755,3.7166572788364904,0.0814916122683091,29.0,78.0,8.5,5.379310344827586
68,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
69,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
70,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
71,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
72,14338082_sample_rpn_20,1,138.8,42.10403781111736,1.1922846978525403,0.0077896868144171,38.0,221.0,27.0,11.63157894736842
73,14338082_sample_rpn_20,2,312.64,63.72458970706154,-2.6620806941217796,-0.0173924691973858,38.0,221.0,27.0,11.63157894736842
74,14338082_sample_rpn_20,3,321.52,66.09911749284807,-3.578262599732765,-0.0233782627939988,38.0,221.0,27.0,11.63157894736842
75,14338082_sample_rpn_20,4,0.0,0.0,0.0,0.0,38.0,221.0,27.0,11.63157894736842
76,14338082_sample_rpn_20,5,79.44,25.123163282782155,5.07738609840671,0.0331726538247956,38.0,221.0,27.0,11.63157894736842
77,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
78,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
79,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
80,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
81,7861312_sample_rpn_10,1,5.36,3.0940803695659445,-0.4395490218603433,-0.030905728758211,18.0,80.0,8.5,8.88888888888889
82,7861312_sample_rpn_10,2,17.64,6.861000898799921,-2.5710534454361413,-0.1807768336537441,18.0,80.0,8.5,8.88888888888889
83,7861312_sample_rpn_10,3,22.16,8.305018563093844,-2.668266161195045,-0.1876120890534213,18.0,80.0,8.5,8.88888888888889
84,7861312_sample_rpn_10,4,0.0,0.0,0.0,0.0,18.0,80.0,8.5,8.88888888888889
85,7861312_sample_rpn_10,5,4.64,3.650114153466071,3.6601595013990527,0.2573544499843506,18.0,80.0,8.5,8.88888888888889
86,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
87,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
88,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
89,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
90,14203895_sample_rw_10,1,12.32,6.032688731679543,-2.0422071397955297,-0.0866189151686263,21.0,122.0,14.0,11.61904761904762
91,14203895_sample_rw_10,2,42.2,12.529964086141668,-2.9688832102195546,-0.1259232905028988,21.0,122.0,14.0,11.61904761904762
92,14203895_sample_rw_10,3,41.8,13.90443574307614,-2.2151204528624744,-0.0939529232152201,21.0,122.0,14.0,11.61904761904762
93,14203895_sample_rw_10,4,0.0,0.0,0.0,0.0,21.0,122.0,14.0,11.61904761904762
94,14203895_sample_rw_10,5,15.24,8.950232771647153,0.1966429304023675,0.0083404846526675,21.0,122.0,14.0,11.61904761904762
95,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
96,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
97,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
98,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
99,14338082_sample_sff_15,1,106.12,29.21660486778024,3.8293292634894778,0.0688332439433844,32.0,397.0,24.0,24.8125
100,14338082_sample_sff_15,2,236.0,53.90964663211956,-1.9662529180231136,-0.035343935568848,32.0,397.0,24.0,24.8125
101,14338082_sample_sff_15,3,172.12,44.53118757305566,-0.676379895563904,-0.0121581141620936,32.0,397.0,24.0,24.8125
102,14338082_sample_sff_15,4,0.0,0.0,0.0,0.0,32.0,397.0,24.0,24.8125
103,14338082_sample_sff_15,5,105.72,34.458332325675116,12.13871861373677,0.2181967968818777,32.0,397.0,24.0,24.8125
104,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
105,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
106,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
107,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
108,7861312_sample_rn_10,1,6.44,4.083299319586226,1.6065439945913016,0.0106899695549796,20.0,81.0,12.0,8.1
109,7861312_sample_rn_10,2,25.0,12.586368287423763,-1.8273738281583165,-0.0121593748159686,20.0,81.0,12.0,8.1
