graph_name,motif,average_count,standard_deviation,z_score,significance_profile
256497288,motif_1,52435.44,887.5352143,22.87746973,0.01118737834
256497288,motif_2,36026.44,646.921175,1.198847758,0.000586252046
256497288,motif_3,72416.32,1275.56725,-28.68160812,-0.01402567702
256497288,motif_4,24514.04,563.6945449,50.31973478,0.02460700058
256497288,motif_5,33661,741.00343,127.9886113,0.06258808491
256497288,motif_6,5543.4,288.4204107,255.4208969,0.1249041193
256497288,motif_7,29967.28,841.8771446,42.25167559,0.02066161537
256497288,motif_8,6628.24,214.6534572,-30.23589783,-0.01478574477
256497288,motif_9,5778.36,188.213726,210.0305904,0.1027076729
256497288,motif_10,7254.88,245.9063711,266.1505666,0.1301510665
256497288,motif_11,10457.28,363.9543836,10.66815012,0.00521686327
256497288,motif_12,5585.56,262.1400834,456.4866175,0.2232278551
256497288,motif_13,506.8,46.85438436,1941.679551,0.9495063926
86775971,motif_1,14099.28,370.7171563,-10.75288783,-0.01127272102
86775971,motif_2,15775.72,410.1809072,2.389872329,0.002505407334
86775971,motif_3,25059.2,617.3063799,-31.04973579,-0.03255079145
86775971,motif_4,8022.36,354.7402665,55.85111664,0.05855116005
86775971,motif_5,7273.8,321.2116384,41.72700611,0.04374423934
86775971,motif_6,1184.6,129.8367565,200.6704473,0.2103715769
86775971,motif_7,7401.64,355.4674012,-3.594253638,-0.003768012758
86775971,motif_8,1682.52,92.97764964,-17.56895347,-0.01841829973
86775971,motif_9,1294.4,88.57670875,88.11119887,0.09237081043
86775971,motif_10,1202.76,77.65537114,79.00599675,0.08282543017
86775971,motif_11,2049.8,110.2020871,-4.054369675,-0.004250372455
86775971,motif_12,876.24,83.82038336,157.2500563,0.1648520883
86775971,motif_13,69.44,12.99063765,908.081675,0.951981602
14338082,motif_1,13618.52,381.1308961,-10.38887175,-0.02042182666
14338082,motif_2,14565.04,377.7862579,-6.532900412,-0.01284198737
14338082,motif_3,22137.08,534.3655833,-27.42519439,-0.05391081723
14338082,motif_4,3148.76,249.3488654,40.09338476,0.07881319297
14338082,motif_5,2962.76,284.9674367,31.82553103,0.06256073747
14338082,motif_6,265.24,60.69340986,135.7438974,0.2668372861
14338082,motif_7,2982.24,149.1158051,-2.375603309,-0.0046698198
14338082,motif_8,594.76,43.85419022,-12.9693422,-0.02549436212
14338082,motif_9,235.04,25.70097274,66.02707286,0.1297920958
14338082,motif_10,218.6,28.6312766,44.58061782,0.08763392904
14338082,motif_11,354.32,40.85413076,6.503136771,0.01278347978
14338082,motif_12,77,17.8699002,136.2066924,0.267747021
14338082,motif_13,2.72,2.282542442,460.1360223,0.9045080462
7861312,motif_1,21836.2,618.0570362,-7.378283448,-0.00906880165
7861312,motif_2,22531.28,520.1963988,-3.045542037,-0.003743339063
7861312,motif_3,34880.64,789.4120111,-34.73425741,-0.04269259824
7861312,motif_4,6252.84,401.1821781,36.15105753,0.04443401673
7861312,motif_5,6123.96,395.0644968,39.82650966,0.04895159139
7861312,motif_6,571.4,77.99679481,168.0787016,0.2065890281
7861312,motif_7,6071,281.1423127,-4.929887595,-0.006059427382
7861312,motif_8,1244.44,54.19031279,-22.48446147,-0.02763611926
7861312,motif_9,609.68,35.82447953,98.07037105,0.1205403329
7861312,motif_10,604.4,45.66636253,78.03555621,0.09591512523
7861312,motif_11,946.4,51.93986908,-2.780137928,-0.003417125353
7861312,motif_12,255.72,40.57864792,125.5409005,0.154304932
7861312,motif_13,12.08,3.957271787,772.9870892,0.950094509
14203895,motif_1,13912.08,521.5726156,-14.33372799,-0.018085471
14203895,motif_2,14486,418.8333002,-11.96418718,-0.01509572111
14203895,motif_3,23931.76,804.0592474,-23.3101728,-0.02941143117
14203895,motif_4,4393,246.691778,38.00288796,0.04794985146
14203895,motif_5,4299.24,304.1488506,30.57963225,0.03858361568
14203895,motif_6,423,61.55146898,171.8886677,0.2168792039
14203895,motif_7,3636.2,230.4540807,-8.14999671,-0.01028319564
14203895,motif_8,808.56,73.44390149,-10.87306071,-0.01371900069
14203895,motif_9,405.28,33.2108416,55.36505283,0.06985642939
14203895,motif_10,408.16,41.64900959,44.89518522,0.0566461545
14203895,motif_11,659.44,51.02783554,-1.615588808,-0.002038456747
14203895,motif_12,202.12,28.34360598,150.1530893,0.189454505
14203895,motif_13,11.28,4.79165942,753.3340088,0.9505133889
14203895_sample_rj_20,motif_1,434.28,41.72081814,-4.057446798,-0.01478744825
14203895_sample_rj_20,motif_2,406.6,35.11409973,-3.434517784,-0.01251717065
14203895_sample_rj_20,motif_3,752.12,64.62347355,-8.884078315,-0.03237820602
14203895_sample_rj_20,motif_4,232.64,37.77772712,11.44483888,0.04171095051
14203895_sample_rj_20,motif_5,250.8,38.68785339,15.95332762,0.0581422304
14203895_sample_rj_20,motif_6,40.56,12.66912257,65.94300398,0.2403306334
14203895_sample_rj_20,motif_7,229,37.52887777,-3.437352984,-0.0125275036
14203895_sample_rj_20,motif_8,60.88,12.50439923,-4.868686524,-0.0177440281
14203895_sample_rj_20,motif_9,38.2,10.18577439,14.01955261,0.05109454764
14203895_sample_rj_20,motif_10,43.16,9.190937566,20.65512889,0.07527804176
14203895_sample_rj_20,motif_11,71.68,12.21583672,-1.856606349,-0.006766439997
14203895_sample_rj_20,motif_12,31.36,10.32747146,53.41481721,0.1946713992
14203895_sample_rj_20,motif_13,2.32,1.81934054,258.7091255,0.9428707251
14203895_sample_bsf_10,motif_1,64.36,9.241572738,3.748279755,0.0253538163
14203895_sample_bsf_10,motif_2,43.88,7.672027112,-0.7664206493,-0.005184161699
14203895_sample_bsf_10,motif_3,93.16,11.37863495,-5.990173716,-0.04051825741
14203895_sample_bsf_10,motif_4,27.88,9.553882282,4.094670506,0.02769684511
14203895_sample_bsf_10,motif_5,32.24,9.95523313,10.02086026,0.06778230725
14203895_sample_bsf_10,motif_6,4.8,3.149073938,32.13643185,0.2173747006
14203895_sample_bsf_10,motif_7,39.24,8.880127627,-1.040525586,-0.007038240546
14203895_sample_bsf_10,motif_8,8.72,2.965355516,-2.940625485,-0.01989074541
14203895_sample_bsf_10,motif_9,7.16,2.925178057,16.01270045,0.1083118369
14203895_sample_bsf_10,motif_10,6.2,2.872281323,5.500853928,0.03720843936
14203895_sample_bsf_10,motif_11,10.44,3.524674926,-1.543404744,-0.01043977581
14203895_sample_bsf_10,motif_12,4.4,2.581988897,30.4416491,0.2059109857
14203895_sample_bsf_10,motif_13,0.24,0.4358898944,139.3929999,0.9428710617
86775971_sample_rn_30,motif_1,426.88,40.46018619,-2.122580445,-0.01542331801
86775971_sample_rn_30,motif_2,501,53.4384381,2.73211578,0.01985238798
86775971_sample_rn_30,motif_3,719.32,57.73338145,-8.614080581,-0.06259254129
86775971_sample_rn_30,motif_4,193.92,32.98727027,14.37160444,0.1044284687
86775971_sample_rn_30,motif_5,177.28,35.52876769,7.366424929,0.05352669414
86775971_sample_rn_30,motif_6,24.48,9.561729272,50.35909157,0.3659245452
86775971_sample_rn_30,motif_7,206.2,39.5347948,1.107884845,0.008050229764
86775971_sample_rn_30,motif_8,40.16,8.454190283,-4.15888439,-0.03021972461
86775971_sample_rn_30,motif_9,28.2,5.515130703,31.150667,0.2263502636
86775971_sample_rn_30,motif_10,27.64,8.040936927,27.28040302,0.1982277431
86775971_sample_rn_30,motif_11,40.6,6.123724357,0.3919183588,0.002847798535
86775971_sample_rn_30,motif_12,16.04,6.913031173,29.50370032,0.2143829005
86775971_sample_rn_30,motif_13,1.16,1.067707825,115.9867869,0.8427954301
14338082_sample_rj_20,motif_1,271.24,29.81509685,-2.389393547,-0.02199508768
14338082_sample_rj_20,motif_2,241.16,33.46475758,-1.588536832,-0.01462296027
14338082_sample_rj_20,motif_3,471.88,45.02899066,-7.148283701,-0.06580210572
14338082_sample_rj_20,motif_4,104.52,25.43639125,8.117503695,0.07472406786
14338082_sample_rj_20,motif_5,118.56,28.09371223,9.733138782,0.08959647573
14338082_sample_rj_20,motif_6,14.92,9.082584067,25.99260279,0.239269742
14338082_sample_rj_20,motif_7,92.8,17.10993863,-1.741677784,-0.01603266888
14338082_sample_rj_20,motif_8,24.84,5.557877293,-4.469332209,-0.04114154989
14338082_sample_rj_20,motif_9,12,4.262237284,10.79245404,0.09934779193
14338082_sample_rj_20,motif_10,13.68,4.705670338,8.993405181,0.082787005
14338082_sample_rj_20,motif_11,22.88,6.253798846,1.298410806,0.01195226277
14338082_sample_rj_20,motif_12,6.96,3.910242959,39.64971016,0.3649875311
14338082_sample_rj_20,motif_13,0.48,0.822597512,95.45372902,0.8786803422
7861312_sample_rj_40,motif_1,2835.72,129.8099637,-2.75572067,-0.009164608536
7861312_sample_rj_40,motif_2,2881.44,157.1323964,-3.382116051,-0.01124779081
7861312_sample_rj_40,motif_3,4911.28,229.0883236,-16.68037873,-0.05547338051
7861312_sample_rj_40,motif_4,1225.88,123.1351967,19.3618077,0.06439091962
7861312_sample_rj_40,motif_5,1244.08,127.3230537,24.18195221,0.08042111384
7861312_sample_rj_40,motif_6,165.96,35.18816089,92.44700257,0.3074479203
7861312_sample_rj_40,motif_7,1215.48,91.99733692,-2.309632073,-0.007681066534
7861312_sample_rj_40,motif_8,292.32,34.02415808,-8.297633678,-0.02759516423
7861312_sample_rj_40,motif_9,162.56,19.89363382,46.61993924,0.1550423807
7861312_sample_rj_40,motif_10,168.96,23.85630594,31.14648185,0.1035828183
7861312_sample_rj_40,motif_11,284.92,31.9020898,-2.223051858,-0.007393129594
7861312_sample_rj_40,motif_12,94.68,23.35187359,60.30865124,0.2005664747
7861312_sample_rj_40,motif_13,6.24,3.585619426,271.5737183,0.9031636786
